iter	Passed	Remaining
876	15739	2207
877	15757	2189
878	15776	2171
879	15795	2153
880	15814	2136
881	15836	2118
882	15853	2100
883	15869	2082
884	15885	2064
885	15902	2046
886	15920	2028
887	15936	2010
888	15953	1991
889	15969	1973
890	15984	1955
891	16000	1937
892	16021	1919
893	16034	1901
894	16052	1883
895	16069	1865
896	16091	1847
897	16108	1829
898	16126	1811
899	16144	1793
900	16161	1775
901	16178	1757
902	16196	1739
903	16213	1721
904	16230	1703
905	16246	1685
906	16264	1667
907	16280	1649
908	16295	1631
909	16311	1613
910	16327	1595
911	16342	1576
912	16359	1558
913	16378	1541
914	16394	1522
915	16409	1504
916	16427	1486
917	16442	1468
918	16460	1450
919	16478	1432
920	16495	1414
921	16512	1396
922	16528	1378
923	16544	1360
924	16562	1342
925	16579	1324
926	16595	1306
927	16612	1288
928	16628	1270
929	16643	1252
930	16659	1234
931	16676	1216
932	16692	1198
933	16709	1180
934	16724	1162
935	16742	1144
936	16763	1127
937	16783	1109
938	16798	1091
939	16814	1073
940	16830	1055
941	16846	1037
942	16862	1019
943	16878	1001
944	16894	983
945	16910	965
946	16930	947
947	16955	930
948	16974	912
949	16991	894
950	17008	876
951	17025	858
952	17042	840
953	17058	822
954	17075	804
955	17094	786
956	17112	768
957	17133	751
958	17151	733
959	17168	715
960	17186	697
961	17200	679
962	17219	661
963	17237	643
964	17257	625
965	17281	608
966	17301	590
967	17325	572
968	17347	554
969	17364	537
970	17381	519
971	17400	501
972	17420	483
973	17440	465
974	17462	447
975	17480	429
976	17496	411
977	17513	393
978	17534	376
979	17548	358
980	17567	340
981	17584	322
982	17603	304
983	17620	286
984	17638	268
985	17656	250
986	17674	232
987	17694	214
988	17714	197
989	17731	179
990	17749	161
991	17767	143
992	17781	125
993	17799	107
994	17817	89
995	17833	71
996	17849	53
997	17865	35
998	17882	17
999	17900	0
